Source,Target,Weight,Type
MissTrbt_1788.rtf,MissJnsn_1788.rtf,8,undirected
MissTrbt_1788.rtf,MissLnsy_1788.rtf,12,undirected
MrsCrsby_1788.rtf,Harris_1788A.rtf,5,undirected
MrsCrsby_1788.rtf,Harris_1793.rtf,5,undirected
MrsCrsby_1788.rtf,MissBlke_1788.rtf,9,undirected
MrsCrsby_1788.rtf,MissDvnprt_1788.rtf,28,undirected
MrsCrsby_1788.rtf,MrsDd_1788.rtf,9,undirected
MrsCrsby_1788.rtf,MrsHrvy_1788.rtf,14,undirected
MrsDd_1788.rtf,MissBlke_1788.rtf,21,undirected
MrsDd_1788.rtf,MissDvnprt_1788.rtf,1,undirected
MrsDd_1788.rtf,MissLstr_1788.rtf,6,undirected
MrsDd_1788.rtf,MrsCrsby_1788.rtf,9,undirected
MrsDd_1788.rtf,MrsDfld_1788.rtf,5,undirected
MrsDd_1788.rtf,MrsHrvy_1788.rtf,28,undirected
MrsDfld_1788.rtf,MissBetsyHdsn_1788.rtf,24,undirected
MrsDfld_1788.rtf,MissLstr_1788.rtf,30,undirected
MrsDfld_1788.rtf,MrsDd_1788.rtf,5,undirected
MrsHrvy_1788.rtf,MissBlke_1788.rtf,26,undirected
MrsHrvy_1788.rtf,MissDvnprt_1788.rtf,4,undirected
MrsHrvy_1788.rtf,MrsCrsby_1788.rtf,14,undirected
MrsHrvy_1788.rtf,MrsDd_1788.rtf,28,undirected
