"Harris_1788A.rtf" "Harris_1793.rtf" "MissBetsyClrke_1788.rtf" "MissBetsyHdsn_1788.rtf" "MissBlke_1788.rtf" "MissBnd_1788.rtf" "MissBrn_1788.rtf" "MissBrwn_1788.rtf" "MissClnton_1788.rtf" "MissDglss_1788.rtf" "MissDvnprt_1788.rtf" "MissGrge_1788.rtf" "MissGrn_1788.rtf" "MissHarrietJns_1788.rtf" "MissHllnd_1788.rtf" "MissHrdy_1788.rtf" "MissJnsn_1788.rtf" "MissKn_1788.rtf" "MissLcs_1788.rtf" "MissLnsy_1788.rtf" "MissLstr_1788.rtf" "MissLvr_1788.rtf" "MissMntn_1788.rtf" "MissRchrdsn_1788.rtf" "MissTrbt_1788.rtf" "MrsCrsby_1788.rtf" "MrsDd_1788.rtf" "MrsDfld_1788.rtf" "MrsHrvy_1788.rtf"
"Harris_1788A.rtf" 0 0.0709427590436484 1.70830050824323 1.17387570414881 0.941448980671123 1.39596146930381 2.71568571158662 1.76991889806808 2.69990762508841 3.19945447451085 0.707037800239465 1.55559566977946 1.54015027296553 1.30050355311054 2.4488712768821 2.59524526846609 2.53689194083828 1.35126161174032 2.33389225382779 2.6325517530125 1.07141089051799 2.35812941922661 1.35759092497232 2.44517735815053 2.52254769201017 0.791680378713268 0.949904212994146 1.05212386522674 0.944154053523797
"Harris_1793.rtf" 0.0709427590436484 0 1.65546860329014 1.22039649178778 0.947661070284454 1.4128497385785 2.75755661301894 1.77895160117868 2.73261230684314 3.20941538956411 0.753125720002249 1.51629705760439 1.48365145259299 1.32939126467585 2.44906810306689 2.61940818888465 2.5680854880042 1.29624747212292 2.29502650952891 2.6648325312046 1.07779679179739 2.35178278181694 1.37994859521243 2.47831490778144 2.57131016211046 0.814114252070628 0.976091898860627 1.04067581546898 0.960961482833641
"MissBetsyClrke_1788.rtf" 1.70830050824323 1.65546860329014 0 0.745966896669336 0.913692927343574 0.708538065214944 1.27294720705436 0.314782016863313 1.21958930221082 1.67920297762501 1.14420869334941 0.285164751947098 0.305373445897622 0.61372571406821 0.968197555146307 1.09934551450932 0.956576334028674 0.447609924331739 0.784926719317729 1.14741733015841 0.819692273784385 0.855560626922976 0.509103493679532 0.920090049255401 1.17621409622278 1.05428796213004 0.913347158844932 0.756857342318061 0.922085918807383
"MissBetsyHdsn_1788.rtf" 1.17387570414881 1.22039649178778 0.745966896669336 0 0.411662688199697 0.396613492643398 1.63713074028454 0.756305476272945 1.68780079996183 2.20871553106868 0.51972177042965 0.631052543505029 0.588028954785788 0.171781174603335 1.40219592686583 1.62311977123 1.4980918596684 0.483030375007924 1.31857766768662 1.58894078956804 0.20110013999597 1.2962636148004 0.283848997522431 1.34229907315721 1.51693833521339 0.48324310184783 0.375174380936468 0.26782826119251 0.35618953809867
"MissBlke_1788.rtf" 0.941448980671123 0.947661070284454 0.913692927343574 0.411662688199697 0 0.630651350388152 1.98060966751034 1.11691477133043 1.92334110178577 2.32273171603523 0.310790592230131 0.805861107334502 0.783378191546229 0.473890813740329 1.68691343607371 1.7463649041752 1.79312799614404 0.628463336987628 1.63616567572895 1.92036510794019 0.397035097167463 1.58923345534928 0.552545866701346 1.7185279191833 1.80243465797115 0.283351651412796 0.194528857109929 0.276931777915644 0.218616723795452
"MissBnd_1788.rtf" 1.39596146930381 1.4128497385785 0.708538065214944 0.396613492643398 0.630651350388152 0 1.54418236178272 0.682744104472671 1.67937216308109 2.00260062082243 0.806583329534954 0.54637543928128 0.42280862105409 0.261822717830733 1.15026840648759 1.50152460260483 1.53471403948075 0.278620179131954 1.247611885447 1.57612153922876 0.542161482803017 1.33257495361464 0.278684426897414 1.38227909452342 1.51689537061034 0.687040984696409 0.622834361039237 0.496769847298206 0.748412417283536
"MissBrn_1788.rtf" 2.71568571158662 2.75755661301894 1.27294720705436 1.63713074028454 1.98060966751034 1.54418236178272 0 1.05113774477913 0.314142290634701 0.699249560683292 2.07506390057927 1.37660256026499 1.42749506012656 1.60931501523636 0.575379662807035 0.351047102185821 0.363848567819577 1.56416445183343 0.809993791609373 0.175732961468207 1.7873054040903 0.615877018076592 1.50622819367676 0.477156343090327 0.348665395945823 2.04051598926346 1.87978301586081 1.88036820018506 1.90929358356425
"MissBrwn_1788.rtf" 1.76991889806808 1.77895160117868 0.314782016863313 0.756305476272945 1.11691477133043 0.682744104472671 1.05113774477913 0 1.08080740817684 1.61343932295309 1.1671660431461 0.378408132600513 0.402436125898801 0.734072932824559 0.790818020122183 1.03917232132 0.876518831786461 0.56509363707987 0.645970869398628 0.920017406400573 0.851035753774209 0.750818245198808 0.636959376082479 0.757074367974687 0.965401558222527 1.07811633724307 0.96931013512416 0.944128677500431 1.03775281000079
"MissClnton_1788.rtf" 2.69990762508841 2.73261230684314 1.21958930221082 1.68780079996183 1.92334110178577 1.67937216308109 0.314142290634701 1.08080740817684 0 0.610591139017948 2.0389263383903 1.24890136571049 1.41854435366434 1.66816225496634 0.614502814631121 0.180453368773005 0.327525980371302 1.52658103717047 0.701015291399681 0.205679492380181 1.88461809003113 0.576870669842788 1.47377777099664 0.382492126595296 0.308446469204523 2.06009085542159 1.93115743778016 1.82102660545559 1.98712243664217
"MissDglss_1788.rtf" 3.19945447451085 3.20941538956411 1.67920297762501 2.20871553106868 2.32273171603523 2.00260062082243 0.699249560683292 1.61343932295309 0.610591139017948 0 2.55512748548671 1.84728478867323 1.85778662570803 2.07392475625602 0.9895072408474 0.675272167749779 0.860157895147557 2.00957918143143 1.27863532747937 0.738311407156436 2.36030396318971 1.18746180886074 1.953314049913 0.993083265613243 0.83578577206561 2.5111596958052 2.35611522833371 2.25612654183656 2.47133767286243
