"Btsy_1788.rtf" "Conclusion_1788.rtf" "Emma_1788.rtf" "MadamDslz_1788.rtf" "MadamoiselleDuPar_1788.rtf" "MissBetsyClrke_1788.rtf" "MissBetsyHdsn_1788.rtf" "MissBetsyHstng_1788.rtf" "MissBetsyRlns_1788.rtf" "MissBlke_1788.rtf" "MissBltn_1788.rtf" "MissBnd_1788.rtf" "MissBrn_1788.rtf" "MissBrwn_1788.rtf" "MissBrwn2_1788.rtf" "MissCharlotteCsdl_1788.rtf" "MissCharlotteCttn_1788.rtf" "MissChld_1788.rtf" "MissClnton_1788.rtf" "MissClrk_1788.rtf" "MissCp_1788.rtf" "MissCpr_1788.rtf" "MissCrbt_1788.rtf" "MissDglss_1788.rtf" "MissDvnprt_1788.rtf" "MissDvnshre_1788.rtf" "MissElizabethWtkns_1788.rtf" "MissElizaWbstr_1788.rtf" "MissEmmaElltt_1788.rtf" "MissFannyCortny_1788.rtf" "MissFannyHnly_1788.rtf" "MissFrsr_1788.rtf" "MissGrce_1788.rtf" "MissGrdner_1788.rtf" "MissGrge_1788.rtf" "MissGrn_1788.rtf" "MissHarrietBrn_1788.rtf" "MissHarrietJns_1788.rtf" "MissHarrietLld_1788.rtf" "MissHlln_1788.rtf" "MissHllnd_1788.rtf" "MissHllngbrg_1788.rtf" "MissHrdy_1788.rtf" "MissJennyHbrd_1788.rtf" "MissJhntn_1788.rtf" "MissJnes_1788.rtf" "MissJnsn_1788.rtf" "MissKlpn_1788.rtf" "MissKn_1788.rtf" "MissLcs_1788.rtf" "MissLndsy_1788.rtf" "MissLnsy_1788.rtf" "MissLouiaMnsn_1788.rtf" "MissLstr_1788.rtf" "MissLvr_1788.rtf" "MissLws_1788.rtf" "MissMlswrth_1788.rtf" "MissMltn_1788.rtf" "MissMntn_1788.rtf" "MissMrrs_1788.rtf" "MissNancyDvs_1788.rtf" "MissNble_1788.rtf" "MissPhoebeBrn_1788.rtf" "MissPmbrke_1788.rtf" "MissRbnsn_1788.rtf" "MissRchrdsn_1788.rtf" "MissRfs_1788.rtf" "MissSarahSddns_1788.rtf" "MissSms_1788.rtf" "MissSphiaMrtn_1788.rtf" "MissSpncr_1788.rtf" "MissTfn_1788.rtf" "MissTrbt_1788.rtf" "MissTwnsdn_1788.rtf" "MissWd_1788.rtf" "MissWlknsn_1788.rtf" "MissWllms_1788.rtf" "MissWlsn_1788.rtf" "MissWrnr_1788.rtf" "MrsAntrbs_1788.rtf" "MrsCharlotteFne_1788.rtf" "MrsChshline_1788.rtf" "MrsCrsby_1788.rtf" "MrsDd_1788.rtf" "MrsDfld_1788.rtf" "MrsGrffn_1788.rtf" "MrsHrvy_1788.rtf" "MrsHwrd.rtf" "MrsNtn_1788.rtf" "MrsSttn_1788i.rtf" "MrsWd_1788.rtf" "MrsWrd_1788.rtf" "MrsWtpl_1788.rtf"
"Btsy_1788.rtf" 0 2.00351145799532 0.539361058990771 0.428731723601023 1.00420257442423 1.57241505555459 0.648156786027358 0.373261329566545 1.42683477073324 0.231272592164323 1.08825504442096 0.904234625224433 3.23113432841232 1.72808131126486 0.708991584967307 1.81463976688968 0.436894561230985 1.0427952851021 3.24325566883449 3.8205058161924 0.607133426842619 1.21306459157809 1.14414640577327 3.77701587412642 0.256668009416753 1.28451080272339 1.50276217799302 0.501747690199663 1.28098335717663 2.81287392127944 1.75031723981011 2.01064485335525 0.96163929961568 1.42670233791568 1.33711709570665 1.27658071636743 1.76026169772646 0.822077576301162 0.939980991372531 0.653055489679838 2.73425910206445 1.46820643692116 3.05779663866479 1.23639148888843 0.924717098212461 0.485559575689264 2.97194916011241 0.50445652595862 1.00816541818938 2.55423821344624 1.28993858718878 3.16705427177334 0.928836034800885 0.528793784017464 2.60752351539704 2.24352042351674 2.02575751366496 1.85572794022003 0.994912419105958 1.42683477073324 0.795033387531061 2.87669986237552 0.329471251129598 0.806737180997064 0.595903904804651 2.82806155397662 1.4877742986236 0.455926121286366 1.4981640313583 1.87927080811417 2.11735169792414 1.30409394343848 2.90450549055381 0.959228088957226 2.22272469814864 0.79237715781526 0.534311498635171 0.847336606011388 2.27073151417276 0.627929767854728 1.75718827494995 1.39631068337947 0.120022868742318 0.26181669515444 0.501734032001984 1.22458543376686 0.314176003470247 1.41943296149039 0.386628081619134 1.7050985020178 1.83216069526761 1.99016542149013 2.6352090794952
"Conclusion_1788.rtf" 2.00351145799532 0 1.65394746895623 1.59013940422442 1.04440822585257 0.705236679484277 1.47309120528323 1.7247106246534 0.800094183052415 1.86158957125886 1.12091507002538 1.22760158089168 1.29817476812839 0.519439624466936 1.38173023315729 0.384539006723688 1.67731418165864 1.16649414343659 1.32724809436188 1.88337537427909 1.56460666045203 0.997826876132055 1.09575732317918 1.94572304220535 2.15052979445883 1.06927308727736 0.725909481382129 1.58168697278335 0.840492074083762 0.875743479366131 0.605666858698769 0.23961001655184 1.25969672277275 0.87981743307521 0.875399942544579 0.891205636191017 0.431760949127822 1.33534446130889 1.20964245358145 1.52138599076943 0.797128660151131 0.592857313247589 1.13912999876916 1.08579826061648 1.3381418180915 1.6323965458194 1.01895177384898 2.40747159570415 1.14508087901424 0.617107771532932 0.922152896223217 1.23303841284837 1.25319881501826 1.54370111040243 0.629656523387686 0.325324401087011 0.181159738461876 0.331664019795527 1.17473632293628 0.800094183052415 1.30495666489963 0.939569420462205 1.76447525573069 1.29429112848771 1.52572083306699 0.890931112063302 0.673895886564551 1.72221079075592 0.625416291797983 0.495271859460094 0.166855368055218 0.918718863262063 1.06299345875575 1.27866885465908 0.272886715134888 1.37244323374542 1.58029895653234 1.28220125315908 0.26722005617744 1.45021000403452 0.32100928524322 0.668345068917858 1.96385755533885 1.80622082632768 1.5662926134927 0.86359623773366 1.81019293185095 0.753331229508847 1.74626637625354 0.422651740883233 0.237615097696979 0.205744119082263 0.694516132796881
"Emma_1788.rtf" 0.539361058990771 1.65394746895623 0 0.110629335389748 0.654770723789358 1.09803649250296 0.287846829285387 0.251556202958126 1.0633374451165 0.391924535602356 0.69801118208126 0.555244122761385 2.7532924046727 1.26793649775495 0.35747878666257 1.41852178010734 0.16787184979311 0.679698864816574 2.88300239326786 3.4097302975885 0.169887381951981 0.815186023742247 0.786739453758027 3.46344071893017 0.671542494928617 0.873735284119495 1.13966575770749 0.138651269914133 0.932927910009064 2.42157639346261 1.33954172120621 1.72570828038073 0.597461966337411 0.959857629121201 0.987787548364281 0.881691373397333 1.41851681042444 0.458981156015632 0.630342988919607 0.269585990740009 2.32348358346055 1.06109015570864 2.70866579522605 0.778868243073267 0.675907061656165 0.121188815699477 2.45098772570375 0.90897697332633 0.6184526831349 2.14346269484235 0.880885755778749 2.67607411571759 0.657645841440144 0.110246358553802 2.28360399234392 1.97927187004324 1.67817002395462 1.6312683858993 0.640849777376758 1.0633374451165 0.442624729307368 2.46592434377162 0.316149293777855 0.454228165698915 0.23789945337437 2.41728603537272 1.29665568087108 0.176437063019827 1.13212095688841 1.41668189382577 1.75055788574882 0.909204600468379 2.63308096549041 0.564398469763201 1.85507048801187 0.434438530699503 0.20822037184019 0.535946735759335 1.88789108954199 0.287828140502385 1.33293818371301 1.03015570062824 0.490787949769866 0.277544363836332 0.122957304090996 0.866184116978906 0.279838835272207 1.00865744288649 0.234436878930627 1.26160907389535 1.52718661006565 1.57938990288623 2.25560315949393
"MadamDslz_1788.rtf" 0.428731723601023 1.59013940422442 0.110629335389748 0 0.592081718360202 1.14368333195357 0.25065167660657 0.201091934657418 1.02892875598125 0.281295200212608 0.67613418835693 0.492113769160408 2.8024026048113 1.29934958766384 0.294875608009521 1.39273019601628 0.118684392113586 0.645290175681316 2.83113481277047 3.40838496012837 0.178401703241595 0.800943735514061 0.732025549709243 3.43922301337527 0.561134313421298 0.872389946659366 1.10525706857223 0.104242580778875 0.883478247755843 2.40075306521542 1.33819638374609 1.70293427053828 0.549518443551654 0.99797061431466 0.926277143815112 0.864459860303404 1.35700640587527 0.424572466880374 0.578159352374857 0.240934633615812 2.32213824600042 1.05409045996337 2.64567578260076 0.807659765287404 0.614396657106995 0.073095093873709 2.54321743651139 0.818076114666614 0.57943369458836 2.14211735738222 0.877817731124756 2.73832254817232 0.582077179758097 0.114677807059677 2.21001840597626 1.88469811381894 1.61524878181814 1.536694629675 0.597407309685169 1.02892875598125 0.380917410573275 2.46457900631149 0.241614702821868 0.392621204039278 0.188180424411257 2.41594069791259 1.20208192464678 0.135176037954933 1.09771226775315 1.45053908451315 1.68861997432311 0.891973087374449 2.55723735311255 0.547107232893201 1.79399297454762 0.394872048394471 0.15414466439283 0.457193156238143 1.85661553721498 0.226317735953216 1.33445929958627 0.995747011492979 0.412099531297917 0.223675033214262 0.0896131759379584 0.840920904429689 0.315949037494145 1.00731210542636 0.162269368540077 1.28396038952777 1.49813326562373 1.5780445654261 2.20647735589418
"MadamoiselleDuPar_1788.rtf" 1.00420257442423 1.04440822585257 0.654770723789358 0.592081718360202 0 0.575339176385801 0.503667778210514 0.779085587987839 0.460203938003849 0.849639355780375 0.0990487633242848 0.19470198174778 2.2364339316263 0.731005432096069 0.462460792751375 0.817563887720892 0.676341445464611 0.232810477422091 2.23905309441027 2.81630324176817 0.56142772216057 0.211604715024891 0.141675181260993 2.87940670821984 1.12925731510664 0.280308228299164 0.536532250594834 0.648003306768854 0.320127163520672 1.81844288634996 0.746114665385883 1.16647486576565 0.220327528271249 0.429626458746895 0.342723275867248 0.277121801783038 0.789754265760561 0.362662089458827 0.191743895894349 0.516815174368747 1.73005652764022 0.50910320477841 2.05766911049915 0.239315609719638 0.293733592238928 0.632918221251421 1.98215383375282 1.36669179350435 0.12824179025063 1.55003563902202 0.290272806235434 2.16997839260455 0.213142395006242 0.633011083993488 1.64129358799886 1.32450114625388 1.04652396384074 0.976497662109941 0.198567311822774 0.460203938003849 0.342744595944164 1.87249728795129 0.801431007977297 0.331398724584448 0.557927274762954 1.82385897955239 0.65339034221868 0.7007962045089 0.528987449775757 0.882194928945382 1.14158675625726 0.299891369014248 1.97831024170105 0.262737918004199 1.24624890165365 0.400459346178985 0.64737108904325 0.245329750986205 1.31162828203001 0.405801778181943 0.789472044401307 0.435775878353627 0.995653399245781 0.815756751574463 0.565783040082885 0.28110459927426 0.899502905442008 0.415230387066163 0.70185815040097 0.738973134342811 0.961673860851109 0.985962847065899 1.64885886320616
"MissBetsyClrke_1788.rtf" 1.57241505555459 0.705236679484277 1.09803649250296 1.14368333195357 0.575339176385801 0 0.955823656533936 1.21954907889388 0.202989774379045 1.36671350240723 0.541569500691328 0.678702426808576 1.75883637823699 0.20824515642869 0.913937542319173 0.350798633426737 1.13552049432361 0.637543331742071 1.81527924658725 2.31169380508554 0.965281628711972 0.397226567585621 0.514734579700253 2.39571757224956 1.65929023745238 0.425462482140514 0.177576438851155 1.1413919206556 0.294727074295198 1.33182452526542 0.241505228703255 0.691077327476995 0.68627613288719 0.189008163203902 0.292707449405637 0.298217374602763 0.350793663743839 0.774940114805765 0.63243406418206 0.936487258891966 1.22544709095759 0.154722690365323 1.64922727285121 0.41283968973729 0.764721228205944 1.08685547986533 1.4248057329651 1.90673284339597 0.564249637365207 1.04542620233939 0.285066370150366 1.67333346497613 0.700988510311399 1.09413534326902 1.22416546996907 1.03056108057129 0.618731501579778 0.571829863524456 0.64294085263921 0.202989774379045 0.788897033919857 1.36788785126866 1.2881383392442 0.776954716259142 0.992159531666885 1.31924954286976 0.237217158496238 1.13580108324456 0.153096821594103 0.361115257410556 0.801847096276863 0.325730601673808 1.68437017601845 0.670596456155058 0.795631965637025 0.849661237476975 1.08861762865131 0.736487906458454 0.798139221344795 0.963149878969658 0.397611268969767 0.176104372175126 1.52384194633369 1.32036618825709 1.09011652782995 0.34782962178773 1.34833541742814 0.210391583621894 1.25920625118869 0.292352766457984 0.59700405546534 0.592081143286159 1.30689237002197
"MissBetsyHdsn_1788.rtf" 0.648156786027358 1.47309120528323 0.287846829285387 0.25065167660657 0.503667778210514 0.955823656533936 0 0.296772990174774 0.793452295379554 0.431178793198922 0.462607232424254 0.320438343590076 2.66119366742417 1.13096900359671 0.112818201322946 1.2197081509564 0.269161563886713 0.394638499074746 2.65760897297451 3.18712334083872 0.153576349376826 0.602199682397523 0.561346033464678 3.30874194150112 0.741973845268851 0.651128327369706 0.854605391965662 0.218668073487576 0.673351091813141 2.17949144592576 1.11693476445643 1.5714762513885 0.372068546044063 0.810110938895029 0.762394128070933 0.669347346385497 1.21908949904184 0.18088354172817 0.447678280500706 0.0489108010519155 2.10087662671076 0.926974004199055 2.46949087738179 0.619800089867772 0.450513641362817 0.225521485803583 2.35535776109176 1.00002772090898 0.438224757201225 1.92085573809256 0.670757286383569 2.59605731214415 0.418194164013918 0.213340231789803 1.99575716305853 1.76575758568709 1.41810112776894 1.34342155661391 0.35974853213216 0.793452295379554 0.206062871378032 2.24331738702183 0.332314682710266 0.218446999791835 0.114592546264162 2.19467907862293 1.04860569665686 0.317317711104749 0.939114100933855 1.28383910457858 1.60420681228023 0.682452532539115 2.46768688229761 0.325845613603541 1.63590561443066 0.149152161907839 0.20669396476434 0.298691759911743 1.63936580447843 0.137457663096767 1.23658920394591 0.854051829288047 0.624369827721004 0.466733098709829 0.167533953138704 0.784772377484775 0.479832053238323 0.860383031065942 0.37412062795255 1.16283964792638 1.41259468136191 1.43111549106568 2.13186757702189
"MissBetsyHstng_1788.rtf" 0.373261329566545 1.7247106246534 0.251556202958126 0.201091934657418 0.779085587987839 1.21954907889388 0.296772990174774 0 1.08501944699208 0.17307441307114 0.759380222599028 0.61094225391024 2.93012492834635 1.3999002645189 0.376128420012972 1.48990134998877 0.114383788091914 0.680584608455115 2.95438196314928 3.47869049245124 0.29008839392174 0.886565593623673 0.858119023639452 3.57767320242331 0.474973411989996 0.942695478982236 1.14055150134603 0.202178759162055 0.955085967168097 2.47105859753829 1.40850191606895 1.84040751231069 0.668841536218837 1.07383636125497 1.05916711824571 0.951712295642843 1.48989638030587 0.468746886663679 0.716609541422894 0.311240165938681 2.39244377832329 1.17859342356923 2.76626386755656 0.883525512227716 0.747286631537591 0.164813929044899 2.6190831834517 0.741923340781199 0.707156018123413 2.21242288970509 0.948123263447625 2.86498857306633 0.714967154188692 0.221064766982958 2.28690911100114 2.04521873430985 1.71487411794371 1.63457350455652 0.656521522306935 1.08501944699208 0.47499413230022 2.53488453863436 0.0685892603503224 0.487378260714023 0.296366485899112 2.48624623023546 1.32420892061708 0.16253993530995 1.21899045322653 1.55277036550076 1.86144727388256 0.979225522713888 2.75276907315253 0.617412765216071 1.90483687535285 0.445925152082613 0.257583753891796 0.590083130668739 1.89747018460621 0.421849455993192 1.49382966554824 1.11551011566508 0.338423718340636 0.180786989329461 0.22561135692686 1.04201283908711 0.183059063063549 1.14025938335861 0.164640472271016 1.41487427096646 1.66421410073208 1.71099184335835 2.38910803862422
"MissBetsyRlns_1788.rtf" 1.42683477073324 0.800094183052415 1.0633374451165 1.02892875598125 0.460203938003849 0.202989774379045 0.793452295379554 1.08501944699208 0 1.20067590988966 0.375847389935787 0.554196899763396 1.94145959463519 0.411234930807735 0.794752425110556 0.499974078167423 1.04743864326139 0.434553557363026 1.89725648696087 2.39367104545916 0.931853428751502 0.302825102672787 0.36730762261413 2.58900786871214 1.52025092464353 0.278035525054392 0.0763283125909857 0.975601152265467 0.147393827960635 1.3860391505462 0.323482469076871 0.851742178599524 0.538849175801067 0.155059885866061 0.137880491167359 0.196173599717055 0.499355426252862 0.616272560328405 0.560069607889286 0.793751454376495 1.30742433133121 0.253976981968244 1.70913839136815 0.369569949420126 0.617294271119821 1.00379856517826 1.60252387893686 1.75697476053473 0.494321963557659 1.12740344271301 0.182451689337754 1.87632323935517 0.531218671786637 1.00447725552977 1.25057989304977 1.05214215023162 0.657748641755297 0.59824428660515 0.439951078260166 0 0.674551699344181 1.44986509164228 1.11851700959663 0.663151549511009 0.908044841643715 1.40122678324338 0.328871623867879 1.09559479047943 0.177223640107588 0.5641050317896 0.916034574044538 0.168660372646009 1.73889623083726 0.498938975353303 0.916171541641683 0.64667146309793 1.0001462601439 0.60953318273699 0.901707138328421 0.857031733066692 0.548416965710218 0.132779781686443 1.40449659077484 1.24501017808451 0.941011669063473 0.302385589490489 1.26635817705453 0.0984925702396748 1.11177929410256 0.441567600324773 0.739597659131099 0.669225030239412 1.4436953387862
"MissBlke_1788.rtf" 0.231272592164323 1.86158957125886 0.391924535602356 0.281295200212608 0.849639355780375 1.36671350240723 0.431178793198922 0.17307441307114 1.20067590988966 0 0.856982452256634 0.688011075598656 3.02543277526496 1.5223797581175 0.508804668471901 1.60893821374232 0.231193008083626 0.817037329589734 3.01198307667017 3.58923322402808 0.40143187369526 1.00297904104632 0.912873813608946 3.64895140842274 0.322482269604864 1.05323821055907 1.27700422248065 0.339615319894422 1.07904347916801 2.58160132911512 1.51904464764579 1.91168571831013 0.730366707451357 1.22100078476832 1.10584450354232 1.06849612780447 1.55929896596347 0.608803390149747 0.787887747422334 0.430226243515266 2.50298650990012 1.3262845501847 2.82652404650047 1.03068993574107 0.78194314560051 0.279858022541905 2.76624760696505 0.56884892771006 0.802463865042026 2.32296562128192 1.08164713225687 2.96135271862598 0.749623668251612 0.386871897281001 2.38176555988468 2.10140852208012 1.79448492150063 1.69514000817723 0.769154463593588 1.20067590988966 0.594846471035656 2.6454272702112 0.105243289807972 0.606550264501658 0.395716988309245 2.59678896181229 1.3904770320475 0.250224568139008 1.32772445142052 1.67356925496681 1.96991517453572 1.07282135127415 2.78304887136501 0.727955496792904 2.01702314500128 0.56661920230289 0.354771949449023 0.638901226833371 2.07054459767736 0.464392566091775 1.60975175156154 1.25295722375991 0.244553042804402 0.117172463828381 0.334862004336224 1.10891432923611 0.172254116733785 1.24642539908501 0.213620519213755 1.55766197862938 1.75702558043887 1.81715785908475 2.48777255610679
"MissBltn_1788.rtf" 1.08825504442096 1.12091507002538 0.69801118208126 0.67613418835693 0.0990487633242848 0.541569500691328 0.462607232424254 0.759380222599028 0.375847389935787 0.856982452256634 0 0.184020419196522 2.24127625253601 0.70898018439712 0.456172698798272 0.797719331756808 0.671591253325602 0.13680830377364 2.19500174055025 2.73225077177144 0.556006038815715 0.180210863197932 0.0987388010404239 2.88675312230153 1.16723520313678 0.196255758302435 0.452175702526772 0.677855898676081 0.290573255972286 1.7340863382819 0.662062195389154 1.17351720177601 0.163001785865281 0.395856783052422 0.299786895646679 0.247358527185906 0.797100679842248 0.31852730673902 0.187434168442084 0.476034027464016 1.64600405764349 0.574797868941207 2.01065461314479 0.205545934025165 0.241446881184035 0.627951175242472 1.94808007998701 1.38445171618038 0.120545977933303 1.46598316902529 0.256503130540962 2.17406849294456 0.159419009620071 0.675947464214057 1.58559281026266 1.37296303720458 0.980158841873361 0.933257203818038 0.102858700292094 0.375847389935787 0.335971973031898 1.78844481795456 0.779937283284348 0.324571823198726 0.569465115331432 1.73980650955566 0.660432678229033 0.719747400543638 0.536333250950293 0.861850285378986 1.22059465682458 0.219845300114861 2.02677213265175 0.169861428186627 1.23421279983354 0.313455070516415 0.661566533831611 0.240918438409568 1.27755452826421 0.481184343130905 0.861025759608489 0.493404473830419 1.06591686446255 0.899809221571191 0.596410611281549 0.380153362598545 0.942439285662577 0.422880266312032 0.735931904166776 0.796601729819603 1.06041854610406 0.99361272631177 1.73767014694408
